#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 320 200
# Band-Index    1
   0.45381    -10.352211    -10.352211
   0.46078    -10.352311    -10.352312
   0.46776    -10.352412    -10.352413
   0.47474    -10.352519    -10.352520
   0.48171    -10.352627    -10.352627
   0.48869    -10.352739    -10.352739
   0.49567    -10.352857    -10.352858
   0.50264    -10.352975    -10.352975
   0.50962    -10.353094    -10.353094
   0.51660    -10.353214    -10.353215
   0.52357    -10.353326    -10.353326
   0.53055    -10.353443    -10.353444
   0.53753    -10.353554    -10.353555
   0.54450    -10.353682    -10.353682
   0.55148    -10.353807    -10.353807
   0.55846    -10.353944    -10.353944
   0.56543    -10.354070    -10.354070
   0.57241    -10.354202    -10.354203
   0.57939    -10.354322    -10.354322
   0.58636    -10.354443    -10.354444
