#K-Path(1/A)         Spin-Up(eV)   Spin-Down(eV)
# NKPTS & NBANDS: 150 160
# Band-Index    1
   0.07953    -15.930346    -15.993568
   0.09089    -15.927749    -15.991076
   0.10225    -15.924813    -15.988253
   0.11361    -15.921540    -15.985105
   0.12497    -15.917935    -15.981635
   0.13633    -15.914002    -15.977849
   0.14770    -15.909744    -15.973749
   0.15906    -15.905167    -15.969342
   0.17042    -15.900275    -15.964631
   0.18178    -15.895074    -15.959622
   0.19314    -15.889570    -15.954321
   0.20450    -15.883770    -15.948734
   0.21586    -15.877679    -15.942868
   0.22722    -15.871307    -15.936730
   0.23859    -15.864660    -15.930327
   0.24995    -15.857747    -15.923667
   0.26131    -15.850579    -15.916760
   0.27267    -15.843164    -15.909616
   0.28403    -15.835513    -15.902243
   0.29539    -15.827639    -15.894654
   0.30675    -15.819555    -15.886860
   0.31811    -15.811273    -15.878875
   0.32948    -15.802809    -15.870713
   0.34084    -15.794181    -15.862390
   0.35220    -15.785407    -15.853924
   0.36356    -15.776508    -15.845334
   0.37492    -15.767508    -15.836642
   0.38628    -15.758433    -15.827873
   0.39764    -15.749315    -15.819057
   0.40900    -15.740188    -15.810227
   0.42037    -15.731097    -15.801423
   0.43173    -15.722089    -15.792691
   0.44309    -15.713224    -15.784087
   0.45445    -15.704574    -15.775679
   0.46581    -15.696225    -15.767550
   0.47717    -15.688281    -15.759799
   0.48853    -15.680867    -15.752549
   0.49989    -15.674129    -15.745943
   0.51126    -15.668238    -15.740151
   0.52262    -15.663378    -15.735359
   0.53398    -15.659734    -15.731757
   0.54534    -15.657470    -15.729515
   0.55670    -15.656702    -15.728753
   0.55670    -15.656702    -15.728753
   0.56326    -15.656651    -15.728705
   0.56982    -15.656499    -15.728561
   0.57638    -15.656246    -15.728321
   0.58294    -15.655891    -15.727985
   0.58950    -15.655435    -15.727553
   0.59606    -15.654878    -15.727025
   0.60262    -15.654221    -15.726401
   0.60918    -15.653462    -15.725683
   0.61574    -15.652604    -15.724869
   0.62230    -15.651645    -15.723961
   0.62886    -15.650587    -15.722958
   0.63542    -15.649430    -15.721861
   0.64198    -15.648173    -15.720670
   0.64854    -15.646819    -15.719386
   0.65510    -15.645366    -15.718009
   0.66166    -15.643816    -15.716540
   0.66822    -15.642169    -15.714979
   0.67478    -15.640425    -15.713327
   0.68134    -15.638586    -15.711584
   0.68790    -15.636652    -15.709751
   0.69446    -15.634624    -15.707829
   0.70102    -15.632501    -15.705818
   0.70758    -15.630286    -15.703718
   0.71414    -15.627979    -15.701532
   0.72070    -15.625581    -15.699258
   0.72726    -15.623092    -15.696897
   0.73382    -15.620513    -15.694448
   0.74038    -15.617844    -15.691881
   0.74694    -15.615083    -15.667263
   0.75351    -15.612196    -15.629320
   0.76007    -15.586853    -15.593989
   0.76663    -15.548679    -15.579434
   0.77319    -15.513791    -15.579164
   0.77975    -15.501330    -15.580466
   0.78631    -15.501676    -15.582208
   0.79287    -15.503478    -15.584196
   0.79943    -15.505721    -15.586376
   0.80599    -15.508217    -15.588724
   0.81255    -15.510911    -15.591232
   0.81911    -15.513777    -15.593895
   0.82567    -15.516806    -15.596708
   0.83223    -15.519990    -15.599671
   0.83879    -15.523325    -15.602781
   0.84535    -15.526806    -15.606036
   0.85191    -15.530430    -15.609432
   0.85847    -15.534192    -15.612967
   0.86503    -15.538087    -15.616635
   0.87159    -15.542098    -15.620420
   0.87815    -15.543392    -15.621382
   0.87815    -15.543392    -15.621382
   0.89127    -15.537264    -15.615732
   0.90439    -15.528420    -15.607355
   0.91751    -15.519348    -15.598753
   0.93062    -15.510082    -15.589962
   0.94374    -15.500645    -15.581004
   0.95686    -15.491055    -15.571896
   0.96998    -15.481336    -15.562656
   0.98310    -15.471514    -15.553304
   0.99622    -15.461620    -15.543862
   1.00934    -15.451699    -15.534355
   1.02246    -15.441820    -15.524815
   1.03558    -15.432117    -15.515286
   1.04870    -15.422919    -15.505835
   1.06182    -15.415359    -15.496592
